단어	빈도
외할머니	1
솜씨	1
까페	1
송천동	1
스캔들	1
항공편	1
지정	1
천주교	1
횡설수설	1
약간	1
예약금	1
분차	1
감안	1
장터	1
주송	1
정원	1
정동	1
주한	1
한국관광공사	1
단체	1
고요	1
별루	1
집들이	1
광범위	1
결제	1
취사	1
옥마	1
전통찻집	1
요량	1
어려움	1
해설	1
카테고리	1
스테이	1
대접	1
느낌	1
고풍	1
화장실	1
현대식	1
방지	1
예술가	1
고합	1
세일	1
레스토랑	1
순간	1
관계자	1
우후죽순	1
초창기	1
초반	1
요청	1
조건	1
대충	1
동시	1
환급	1
선착순	1
마감	1
알짜배기	1
비게	1
정확	1
전주국	1
중점	1
전전주	1
현장	1
초등학생	1
효자동	1
사절	1
주목적	1
부부	1
후반	1
주천	1
전주곡	1
종류	1
다면	1
기프	1
혼숙	1
아라리	1
만세	1
상당	1
불가	1
전화	1
음료	1
만두	1
다우	1
케이크	1
뷔페	1
타운	1
월드컵	1
가는대	1
축구	1
전제	1
군요	1
남녀	1
견적	1
차비	1
토월	1
오동	1
가본	1
초아	1
초딩	1
명물	1
중리	1
중화산동	1
여수전	1
이동해	1
돌산	1
통계	1
하멜	1
수해	1
아르	1
뮤지엄	1
여고생	1
빌라	1
진주성	1
진주비빔밥	1
이유	1
자료실	1
안팎	1
월화	1
걸로	1
보리암	1
칠월	1
단점	1
켈로그	1
다운	1
도통	1
체증	1
우유	1
지역학	1
버스표	1
다랭이	1
자체	1
독일	1
예산	1
건가요	1
강추	1
특징	1
산청	1
다리	1
어르신	1
동반자	1
주로	1
장단점	1
태릉	1
전동	1
사촌	1
이모	1
할머니	1
업데이트	1
원도	1
엘레	1
공전	1
어린이	1
생태	1
각각	1
재정리	1
스토리	1
상점	1
페스타	1
광고	1
성단	1
이틀	1
남친	1
이터	1
에스컬레이터	1
랭킹	1
항목	1
정감	1
무형	1
유산	1
전완	1
차례	1
수요일	1
일인	1
밤중	1
배낭여행	1
승강장	1
이내	1
변산반도	1
지밀	1
실내	1
기행	1
변호사	1
용추	1
별거	1
친정	1
오세용	1
여름휴가	1
신랑	1
지요	1
려인	1
욕조	1
쪽지	1
하트	1
관광객	1
문제	1
이동은	1
어머니	1
자리	1
직행	1
환승	1
팀조	1
플랫	1
하늘	1
녹원	1
다윈	1
이맘때	1
남문	1
가보세요	1
정류장	1
구간	1
연못	1
세염	1
바요	1
가신	1
국밥	1
위아래	1
우동	1
리조트	1
비추	1
선선	1
보로	1
권내	1
요약	1
바탕	1
생일	1
기지	1
남남	1
성인	1
퇴사	1
사회	1
성수기	1
소속	1
가늠	1
법률	1
상담	1
남전	1
고군	1
최적	1
소도	1
풀코스	1
대신	1
물론	1
김선용	1
국제	1
슬로	1
통합	1
숙제	1
여수중	1
아시아나항공	1
군도	1
리의	1
여행스케치	1
카페이	1
관광버스	1
변호	1
우선시	1
프로그램	1
추진	1
자금	1
체력	1
대답	1
토종	1
용권	1
고궁	1
사장	1
대한항공	1
작년	1
양죽	1
담주	1
전한옥	1
술값	1
모란	1
일본	1
고학생	1
흥미	1
입장료	1
만족	1
장점	1
침대	1
덕분	1
또마	1
답장	1
치킨	1
양식	1
동의	1
중식	1
전환	1
천동	1
러스	1
이용한	1
가운데	1
오타쿠	1
신시가지	1
한복남	1
인생	1
다수	1
존재	1
단축	1
가정	1
버스비	1
컨셉	1
타세	1
닭볶음탕	1
길손	1
트레	1
이것저것	1
애니	1
자격증	1
안쪽	1
저번	1
변동	1
재미	1
콩나물	1
외곽	1
나중	1
뒤통수	1
속옷	1
달인	1
구랑	1
사복	1
더클래식	1
학창	1
편백	1
해장국	1
나무숲	1
공기	1
반양	1
몽펠리에	1
송광사	1
동탄	1
소가	1
요번	1
범죄자	1
사기	1
남산	1
레일바이크	1
옥체	1
음악분수	1
토대	1
인당	1
복합	1
광역시	1
인원수	1
오시	1
동생	1
정식	1
충분	1
진심	1
요령	1
중로	1
가실	1
경관	1
롯데	1
기차표	1
