단어	빈도
캐리	2
저번	2
인기	2
제공	2
알찬	2
이튿날	2
사월	2
고요	2
상황	2
통제	2
기온	2
사지	2
부처	2
기림사	2
부족	2
활용	2
책자	2
가시	2
방학	2
개화	2
어려움	2
그때	2
쿠지	2
경치	2
명과	2
패딩	2
대표	2
양남	2
실내	2
구체	2
최대한	2
이틀	2
최소한	2
조심	2
교동	2
현지인	2
다면	2
느낌	2
의견	2
재미	2
대접	2
애인	2
주후	2
게요	2
술집	2
군요	2
생활	2
접근성	2
바닷가	2
언니	2
작품	2
교통비	2
공유	2
어머님	2
대상	2
본인	2
워터	2
세세	2
봄바람	2
기상	2
지인	2
학생	2
해변	2
기념	2
일출	2
행의	2
어버이날	2
쉬엄	2
예매	2
기차표	2
나용	2
지금	2
구미	2
요약	2
동시	2
제한	2
감성	2
비수기	2
아니마	1
나름	1
교통수단	1
지정일	1
제호	1
용강동	1
여기저기	1
국보	1
식대	1
종목	1
든여	1
얘기	1
가거	1
오려	1
중반	1
부부	1
전용	1
수원	1
이하	1
연결	1
담벽	1
등반	1
오정	1
보존	1
시반	1
서프라이즈	1
마트	1
면허	1
실라	1
불편	1
양야	1
캘리포니아	1
비치	1
멜레	1
선덕여왕	1
드라마	1
대세	1
당방	1
분정	1
사역	1
별론	1
동행자	1
눈치	1
처녀	1
바비큐	1
프라이빗	1
퇴근	1
강추	1
컴퓨터	1
천국	1
조립식	1
여인	1
스카이	1
음악	1
키덜트	1
오픈	1
보관	1
즉시	1
낭비	1
세계	1
지정	1
건축	1
경주타워	1
걸작	1
핑장	1
하이킹	1
글램	1
경상도	1
가성	1
대월	1
한식	1
교리	1
동산	1
가보	1
대나	1
초록	1
단풍	1
집중	1
월요	1
과거	1
으뜸	1
영화관	1
포석	1
연꽃	1
자신	1
국도	1
고분	1
완전	1
디저트	1
여학생	1
신분	1
매력	1
독특	1
동물원	1
발생	1
인터넷	1
주위	1
와이프	1
마무리	1
미취학	1
초딩	1
매크로	1
케이티엑스	1
바퀴	1
시사	1
초중	1
문화엑스포	1
러브	1
캐슬	1
텍스	1
제주	1
평상시	1
진현동	1
비교	1
아점	1
걸로	1
서악	1
북부	1
동해안	1
코너	1
전시물	1
추천장	1
직전	1
부자	1
휴가철	1
전역	1
식비	1
주머니	1
황남동	1
세영	1
도시락	1
려고	1
실제	1
기반	1
호구	1
수술	1
뒷길	1
우측	1
발전소	1
거대	1
발전기	1
흥미	1
무릎	1
대분	1
특징	1
안함	1
어린애	1
일본인	1
고등학교	1
인파	1
예산	1
꽈배기	1
찹쌀	1
도너츠	1
켄싱	1
명가	1
횡리	1
아덴	1
북남	1
집행	1
허브	1
랜드	1
공룡	1
모습	1
시민	1
간의	1
내륙	1
제과	1
사무소	1
마리안느	1
반대편	1
빙판길	1
전동	1
기구	1
